packet_count,total_bytes,avg_bytes,iat_mean,anomaly_score
17,2582,151.88235294117646,0.0632045716047287,-0.16237555981716761
17,2582,151.88235294117646,0.0636273771524429,-0.1643890974535237
19,2778,146.21052631578948,0.1677650478151109,0.02580136608578909
32,4968,155.25,0.0983188998314642,-0.019310824092500845
17,2582,151.88235294117646,0.0648378133773803,-0.1379398648499845
17,2582,151.88235294117646,0.0633098632097244,-0.1662263786053425
36,5360,148.88888888888889,0.1156512056078229,0.134841129117092
32,4968,155.25,0.0983374503351027,-0.01739775711915842
17,2582,151.88235294117646,0.0634939968585968,-0.16314848221010486
17,2582,151.88235294117646,0.0662788152694702,-0.09500725002438881
19,2778,146.21052631578948,0.2242772711647881,0.04922109929343155
15,2386,159.06666666666666,0.0006022793906075,0.0008421669528455578
17,2582,151.88235294117646,0.0631596744060516,-0.1550622546394475
17,2582,151.88235294117646,0.0638339966535568,-0.16612073496514446
34,5164,151.88235294117646,0.0920542153445157,-0.0816452622079118
17,2582,151.88235294117646,0.063883438706398,-0.16479033986176683
17,2582,151.88235294117646,0.0636805593967437,-0.16571150214688563
17,2582,151.88235294117646,0.0638990700244903,-0.16457690918779766
17,2582,151.88235294117646,0.062916874885559,-0.10243271758073214
34,5164,151.88235294117646,0.0922576730901544,-0.07772091530391156
2,196,98.0,2.002716064453125e-05,0.13077050324576422
17,2582,151.88235294117646,0.2510786205530166,0.06807616023931395
17,2582,151.88235294117646,0.2503468692302704,0.07810271467904117
15,2386,159.06666666666666,0.0006036417824881,0.002682470300163331
17,2582,151.88235294117646,0.0636556893587112,-0.16566238343312584
17,2582,151.88235294117646,0.0680723190307617,-0.06106866573334452
17,2582,151.88235294117646,0.0679445564746856,-0.060145769544286354
17,2582,151.88235294117646,0.0651696920394897,-0.11849760815950233
17,2582,151.88235294117646,0.0646892488002777,-0.1491605847340991
17,2582,151.88235294117646,0.0661002546548843,-0.09873152750095249
19,2778,146.21052631578948,0.1125015550189548,0.011087636292071767
15,2386,159.06666666666666,0.0005821500505719,0.06736016933465216
34,5164,151.88235294117646,0.0943421233784068,-0.0027334704877390315
17,2582,151.88235294117646,0.0649138689041137,-0.13181975286078063
34,5164,151.88235294117646,0.123330426938606,-0.06014887279615139
17,2582,151.88235294117646,0.0630394369363784,-0.13139631875393115
17,2582,151.88235294117646,0.0633616894483566,-0.16584522948221925
17,2582,151.88235294117646,0.0635491907596588,-0.16541234396674076
17,2582,151.88235294117646,0.0635915696620941,-0.16535838467051944
17,2582,151.88235294117646,0.0639516860246658,-0.16308298651779995
17,2582,151.88235294117646,0.0633353739976883,-0.1653812330519578
17,2582,151.88235294117646,0.0643206238746643,-0.1621724493794981
34,5164,151.88235294117646,0.0922873020172119,-0.07488611924614491
17,2582,151.88235294117646,0.0650048851966857,-0.12620304247993724
17,2582,151.88235294117646,0.0647009313106536,-0.1475652624985574
34,5164,151.88235294117646,0.1234899361928304,-0.04306260413130103
2,196,98.0,2.288818359375e-05,0.13252776070070726
32,4968,155.25,0.1303383227317563,-0.018806948460996287
19,2778,146.21052631578948,0.1133930020862155,0.02773536433505941
17,2582,151.88235294117646,0.2506380677223205,0.05123067893055899
15,2386,159.06666666666666,0.0029004301343645,0.18200249761609022
17,2582,151.88235294117646,0.0632757395505905,-0.16572185237511966
17,2582,151.88235294117646,0.0635633766651153,-0.16549216980973963
17,2582,151.88235294117646,0.0633078813552856,-0.16530725749716962
19,2778,146.21052631578948,0.1121846172544691,0.042137551276083984
32,4968,155.25,0.0651110295326479,0.055776450371915476
17,2582,151.88235294117646,0.0639131963253021,-0.16457690918779766
17,2582,151.88235294117646,0.0635008215904235,-0.1645481356186364
17,2582,151.88235294117646,0.0642407536506652,-0.1623319971979798
24,3188,132.83333333333334,0.1762642238451087,0.2294193088282277
27,4558,168.8148148148148,0.0785739605243389,0.21833082450108687
17,2582,151.88235294117646,0.0641296803951263,-0.1613490670862494
17,2582,151.88235294117646,0.0633272379636764,-0.16531835290101293
17,2582,151.88235294117646,0.0643191784620285,-0.1621724493794981
17,2582,151.88235294117646,0.0632786899805069,-0.16572185237511966
19,2778,146.21052631578948,0.2238501045438978,0.02823015709353538
32,4968,155.25,0.1302890316132576,-0.02643264938275769
2,196,98.0,2.193450927734375e-05,0.16234382425942584
32,4968,155.25,0.1302986452656407,-0.026229314219735733
34,5164,151.88235294117646,0.0917747526457815,-0.07043167188293414
17,2582,151.88235294117646,0.0633673071861267,-0.16584522948221925
17,2582,151.88235294117646,0.0642999410629272,-0.16153575579435026
17,2582,151.88235294117646,0.0641911923885345,-0.16195465180806062
17,2582,151.88235294117646,0.06381556391716,-0.1669908287084259
34,5164,151.88235294117646,0.0919835495226311,-0.07976389302773285
17,2582,151.88235294117646,0.0648146867752075,-0.13905944228538952
17,2582,151.88235294117646,0.0633965581655502,-0.16371818844335562
