packet_count,total_bytes,avg_bytes,iat_mean
17,2582,151.88235294117646,0.0632045716047287
17,2582,151.88235294117646,0.06362737715244293
19,2778,146.21052631578948,0.16776504781511095
32,4968,155.25,0.09831889983146422
17,2582,151.88235294117646,0.06483781337738037
17,2582,151.88235294117646,0.06330986320972443
36,5360,148.88888888888889,0.11565120560782297
32,4968,155.25,0.0983374503351027
17,2582,151.88235294117646,0.0634939968585968
17,2582,151.88235294117646,0.06627881526947021
19,2778,146.21052631578948,0.22427727116478813
15,2386,159.06666666666666,0.0006022793906075614
17,2582,151.88235294117646,0.06315967440605164
17,2582,151.88235294117646,0.06383399665355682
34,5164,151.88235294117646,0.09205421534451572
17,2582,151.88235294117646,0.06388343870639801
17,2582,151.88235294117646,0.06368055939674377
17,2582,151.88235294117646,0.06389907002449036
17,2582,151.88235294117646,0.06291687488555908
34,5164,151.88235294117646,0.09225767309015448
2,196,98.0,2.002716064453125e-05
17,2582,151.88235294117646,0.25107862055301666
17,2582,151.88235294117646,0.2503468692302704
15,2386,159.06666666666666,0.0006036417824881417
17,2582,151.88235294117646,0.06365568935871124
17,2582,151.88235294117646,0.06807231903076172
17,2582,151.88235294117646,0.06794455647468567
17,2582,151.88235294117646,0.06516969203948975
17,2582,151.88235294117646,0.06468924880027771
17,2582,151.88235294117646,0.06610025465488434
19,2778,146.21052631578948,0.11250155501895481
15,2386,159.06666666666666,0.0005821500505719866
34,5164,151.88235294117646,0.09434212337840688
17,2582,151.88235294117646,0.06491386890411377
34,5164,151.88235294117646,0.12333042693860603
17,2582,151.88235294117646,0.06303943693637848
17,2582,151.88235294117646,0.06336168944835663
17,2582,151.88235294117646,0.06354919075965881
17,2582,151.88235294117646,0.06359156966209412
17,2582,151.88235294117646,0.06395168602466583
17,2582,151.88235294117646,0.0633353739976883
17,2582,151.88235294117646,0.0643206238746643
34,5164,151.88235294117646,0.09228730201721191
17,2582,151.88235294117646,0.06500488519668579
17,2582,151.88235294117646,0.06470093131065369
34,5164,151.88235294117646,0.1234899361928304
2,196,98.0,2.288818359375e-05
32,4968,155.25,0.13033832273175638
19,2778,146.21052631578948,0.11339300208621556
17,2582,151.88235294117646,0.25063806772232056
15,2386,159.06666666666666,0.0029004301343645367
17,2582,151.88235294117646,0.06327573955059052
17,2582,151.88235294117646,0.06356337666511536
17,2582,151.88235294117646,0.06330788135528564
19,2778,146.21052631578948,0.11218461725446913
32,4968,155.25,0.0651110295326479
17,2582,151.88235294117646,0.06391319632530212
17,2582,151.88235294117646,0.06350082159042358
17,2582,151.88235294117646,0.06424075365066528
24,3188,132.83333333333334,0.1762642238451087
27,4558,168.8148148148148,0.07857396052433895
17,2582,151.88235294117646,0.06412968039512634
17,2582,151.88235294117646,0.06332723796367645
17,2582,151.88235294117646,0.0643191784620285
17,2582,151.88235294117646,0.0632786899805069
19,2778,146.21052631578948,0.22385010454389784
32,4968,155.25,0.1302890316132576
2,196,98.0,2.193450927734375e-05
32,4968,155.25,0.13029864526564075
34,5164,151.88235294117646,0.09177475264578154
17,2582,151.88235294117646,0.06336730718612671
17,2582,151.88235294117646,0.06429994106292725
17,2582,151.88235294117646,0.06419119238853455
17,2582,151.88235294117646,0.06381556391716003
34,5164,151.88235294117646,0.0919835495226311
17,2582,151.88235294117646,0.06481468677520752
17,2582,151.88235294117646,0.06339655816555023
17,2582,151.88235294117646,0.06385825574398041
19,2778,146.21052631578948,0.1684965027703179
32,4968,155.25,0.06524948150880876
17,2582,151.88235294117646,0.0642954409122467
17,2582,151.88235294117646,0.06321719288825989
34,5164,151.88235294117646,0.09198475606513745
17,2582,151.88235294117646,0.0664508044719696
34,5164,151.88235294117646,0.09245491027832031
17,2582,151.88235294117646,0.06402061879634857
2,196,98.0,2.002716064453125e-05
15,2386,159.06666666666666,0.0006010702678135463
34,5164,151.88235294117646,0.12381396871624571
17,2582,151.88235294117646,0.06623849272727966
17,2582,151.88235294117646,0.06618143618106842
34,5164,151.88235294117646,0.12283130125565962
17,2582,151.88235294117646,0.06456694006919861
34,5164,151.88235294117646,0.12316776044440991
19,2778,146.21052631578948,0.22174077563815647
15,2386,159.06666666666666,0.0005899156842912946
34,5164,151.88235294117646,0.12242284688082608
34,5164,151.88235294117646,0.09158888007655289
17,2582,151.88235294117646,0.063262939453125
17,2582,151.88235294117646,0.06379026174545288
19,2778,146.21052631578948,0.16887949572669136
32,4968,155.25,0.0980733210040677
19,2778,146.21052631578948,0.16847589280870226
32,4968,155.25,0.13028364027700118
2,196,98.0,2.3126602172851562e-05
32,4968,155.25,0.09832816739236155
17,2582,151.88235294117646,0.06474369764328003
17,2582,151.88235294117646,0.06327888369560242
17,2582,151.88235294117646,0.06325475871562958
34,5164,151.88235294117646,0.09255642601937959
34,5164,151.88235294117646,0.09210409540118593
17,2582,151.88235294117646,0.0632767379283905
34,5164,151.88235294117646,0.1230190305998831
17,2582,151.88235294117646,0.06898331642150879
17,2582,151.88235294117646,0.0646594911813736
19,2778,146.21052631578948,0.11325195100572374
32,4968,155.25,0.13479351228283298
17,2582,151.88235294117646,0.06379249691963196
17,2582,151.88235294117646,0.0631677508354187
17,2582,151.88235294117646,0.0684773176908493
17,2582,151.88235294117646,0.06317505240440369
17,2582,151.88235294117646,0.06420250236988068
17,2582,151.88235294117646,0.0643250048160553
17,2582,151.88235294117646,0.0664920061826706
17,2582,151.88235294117646,0.06347981095314026
17,2582,151.88235294117646,0.06396344304084778
17,2582,151.88235294117646,0.06446699798107147
17,2582,151.88235294117646,0.06324693560600281
17,2582,151.88235294117646,0.06324456632137299
17,2582,151.88235294117646,0.06331087648868561
17,2582,151.88235294117646,0.06483037769794464
34,5164,151.88235294117646,0.09180027065855084
19,2778,146.21052631578948,0.22308793332841662
34,5164,151.88235294117646,0.12280678749084473
34,5164,151.88235294117646,0.12201602531201912
34,5164,151.88235294117646,0.12210615475972493
32,4968,155.25,0.13032522509174962
34,5164,151.88235294117646,0.12382072390932025
17,2582,151.88235294117646,0.06421913206577301
36,5360,148.88888888888889,0.11525733811514718
49,7550,154.08163265306123,0.08463156223297119
2,196,98.0,1.9073486328125e-05
34,5164,151.88235294117646,0.12277085130864923
17,2582,151.88235294117646,0.25077787041664124
15,2386,159.06666666666666,0.0006138597215924944
34,5164,151.88235294117646,0.09116596886605928
17,2582,151.88235294117646,0.06331118941307068
19,2778,146.21052631578948,0.11277728610568577
32,4968,155.25,0.1312967731106666
17,2582,151.88235294117646,0.06311768293380737
17,2582,151.88235294117646,0.06323686242103577
19,2778,146.21052631578948,0.22321071889665392
17,2582,151.88235294117646,0.255109503865242
32,4968,155.25,0.10121103255979476
17,2582,151.88235294117646,0.06337256729602814
2,196,98.0,2.6941299438476562e-05
34,5164,151.88235294117646,0.12271764061667702
34,5164,151.88235294117646,0.12272969881693523
32,4968,155.25,0.06545942060409053
17,2582,151.88235294117646,0.0632818192243576
17,2582,151.88235294117646,0.06332600116729736
17,2582,151.88235294117646,0.06885381042957306
17,2582,151.88235294117646,0.06470251083374023
19,2778,146.21052631578948,0.1683046685324775
15,2386,159.06666666666666,0.0006063665662493024
17,2582,151.88235294117646,0.06337068974971771
34,5164,151.88235294117646,0.09221651337363503
19,2778,146.21052631578948,0.11267222298516168
15,2386,159.06666666666666,0.0005870035716465541
17,2582,151.88235294117646,0.0643540620803833
19,2778,146.21052631578948,0.16847777366638184
15,2386,159.06666666666666,0.0006153583526611328
