step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate
3,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False
4,3,256,85.33333333333333,0.0,0.0,2,1,0.0,0.03468923393242518,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False
5,7,593,84.71428571428571,0.3416624069213867,0.7635334865161367,3,2,0.6666666666666666,-0.045908876147449484,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
6,7,593,84.71428571428571,0.3416624069213867,0.7635334865161367,3,2,0.6666666666666666,-0.045908876147449484,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
7,9,755,83.88888888888889,0.2559969425201416,0.6769265685025538,3,3,0.4,-0.05601554521069685,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
8,15,1194,79.6,0.23773820059640066,0.5676278956591393,3,4,0.2857142857142857,0.07262847215738344,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
9,14,1113,79.5,0.15784412163954514,0.3262227754866918,3,4,0.3333333333333333,0.09076366270770941,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
10,15,1194,79.6,0.2924965279442923,0.5783824813037411,3,4,0.2857142857142857,0.07886209812542877,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
11,12,972,81.0,0.37245004827325995,0.6287881335798706,3,2,0.5,0.004704258036707043,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
12,12,917,76.41666666666667,0.34927983717484906,0.6372226928845203,3,3,0.4,0.04100451093250024,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
13,6,478,79.66666666666667,0.20549721717834474,0.40700081166845614,3,2,0.6666666666666666,0.028586774887843225,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
14,8,618,77.25,0.43878051212855745,0.7434993982627274,3,2,0.6666666666666666,-0.010705551008154901,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
15,6,439,73.16666666666667,0.409395170211792,0.817291989389721,3,1,1.0,0.14257798155202106,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True
