packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score
8,674,84.25,0.2034695829663957,0.4983966564445573,3,2,0.5,-0.04793766079456735
8,674,84.25,0.3014205864497593,0.7383266347723758,3,2,0.5,-0.1271053375481907
18,1450,80.55555555555556,0.2291206472060259,0.4280076098481138,3,4,0.25,0.1438735126866486
8,674,84.25,0.2915684495653425,0.7121556022329819,3,2,0.5,-0.13145144950763704
12,1011,84.25,0.2770432558926669,0.6184796286176322,3,3,0.3333333333333333,-0.06354632430056817
12,1011,84.25,0.2864929979497736,0.6415903117064261,3,3,0.3333333333333333,-0.06860887511390346
14,1113,79.5,0.2333448483393742,0.575371091979843,3,3,0.3333333333333333,-0.01973912837552294
10,776,77.6,0.1213836669921875,0.3405069420908936,3,2,0.5,0.01996620957661066
8,674,84.25,0.4449203014373779,1.089827714726857,3,2,0.5,-0.10959867201071599
8,674,84.25,0.3129862717219761,0.7565045108790347,3,2,0.5,-0.11777434385813368
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
10,776,77.6,0.2565383381313748,0.6489320663455427,3,2,0.5,-0.03633668869390483
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.449775014604841,1.1017192848347122,3,2,0.5,-0.10494477990731871
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
6,439,73.16666666666667,0.0043978214263916,0.0087956428527832,3,1,1.0,0.15193520359382628
10,776,77.6,0.3338330056932237,0.7857581490428227,3,2,0.5,-0.05522138582330288
8,674,84.25,0.2855714389256069,0.6995043104801069,3,2,0.5,-0.12803546126798482
8,674,84.25,0.4266437121800014,1.045059396807852,3,2,0.5,-0.11893654924070318
16,1348,84.25,0.2819255987803141,0.5985826238849669,3,4,0.25,0.05219247999920995
8,674,84.25,0.4353535515921456,1.0663940591091878,3,2,0.5,-0.12082960953203453
14,1113,79.5,0.2504900785592886,0.5911943820122625,3,3,0.3333333333333333,-0.02033537305903993
8,674,84.25,0.4433495657784598,1.0859802138417134,3,2,0.5,-0.11148253168889594
8,674,84.25,0.1484971387045724,0.3637422180895009,3,2,0.5,-0.08747563255667151
10,776,77.6,0.3639289802975124,0.7250563462706269,3,2,0.5,-0.05719640582389607
6,439,73.16666666666667,0.3418290138244629,0.6836580276489257,3,1,1.0,0.11159795098969072
8,674,84.25,0.4299278599875314,1.0531038831761803,3,2,0.5,-0.1249362030058081
16,1348,84.25,0.2292186737060547,0.4625367903918755,3,3,0.5,0.14615168506915055
16,1348,84.25,0.2754621982574463,0.5733116923543984,3,4,0.25,0.018034905350842734
8,674,84.25,0.4349252837044852,1.0653450213112003,3,2,0.5,-0.12103459657063698
14,1113,79.5,0.1700687591846172,0.3892263291451447,3,3,0.3333333333333333,0.02438880300163404
8,674,84.25,0.3666737079620361,0.8981634866012821,3,2,0.5,-0.07927931485931977
8,674,84.25,0.1733418532780238,0.424599091599546,3,2,0.5,-0.06616993851492303
14,1113,79.5,0.3141505351433387,0.6134157405512671,3,3,0.3333333333333333,-0.02141638556430825
10,776,77.6,0.441334777408176,0.9594005329533128,3,2,0.5,-0.0021161916952825988
12,1011,84.25,0.2838579958135431,0.634731152340769,3,3,0.3333333333333333,-0.06621242750753381
12,1011,84.25,0.1905410073020241,0.3981514628797139,3,3,0.3333333333333333,-0.01379606077740586
8,674,84.25,0.290283271244594,0.71104589541518,3,2,0.5,-0.13145144950763704
8,674,84.25,0.4487755639212472,1.0992711406368314,3,2,0.5,-0.10672661302387565
14,1113,79.5,0.1654556897970346,0.3241265630753567,3,3,0.3333333333333333,0.0509523715324679
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
12,1011,84.25,0.294670820236206,0.6508643387192866,3,3,0.3333333333333333,-0.06756089431503298
14,1113,79.5,0.3565139220311091,0.853256479149924,3,3,0.3333333333333333,0.08939279953365775
8,674,84.25,0.2687227044786726,0.6582335082734636,3,2,0.5,-0.0938991227913838
10,776,77.6,0.3334997759924994,0.6249342356915157,3,2,0.5,-0.06050034131871629
8,674,84.25,0.4289282730647495,1.0506554052618062,3,2,0.5,-0.12522077316184405
16,1348,84.25,0.2950524012247721,0.6241173875744646,3,4,0.25,0.09717093844560953
8,674,84.25,0.3132718290601458,0.7673561319857523,3,2,0.5,-0.11927658790599754
10,776,77.6,0.3386084503597683,0.8940540873825151,3,2,0.5,-0.043286380687522
8,674,84.25,0.4346397263663156,1.0646455515403772,3,2,0.5,-0.12103459657063698
10,776,77.6,0.3332777818044026,0.696856614042505,3,2,0.5,-0.07362267019362406
8,674,84.25,0.1519239970615931,0.3721362724849942,3,2,0.5,-0.08389224668877038
8,674,84.25,0.2857142857142857,0.6998542122237652,3,2,0.5,-0.12914898903873012
14,1113,79.5,0.2311920019296499,0.5625153030237523,3,3,0.3333333333333333,-0.012196113231366101
8,674,84.25,0.4287854262760707,1.050305503518148,3,2,0.5,-0.1256913466495116
12,1011,84.25,0.2023532824082808,0.4293137327443785,3,3,0.3333333333333333,-0.007479396287504103
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.0,0.0,3,2,0.5,0.11378637223855625
14,1113,79.5,0.1729903771327092,0.3649731467896537,3,3,0.3333333333333333,0.028221610653964335
16,1348,84.25,0.2695984681447347,0.5771680591688345,3,4,0.25,0.024018782225146307
7,509,72.71428571428571,0.3479924996693929,0.5901791090759843,3,1,1.0,0.19761595263765774
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
12,1011,84.25,0.3530960949984463,0.8756002878005997,3,3,0.3333333333333333,-0.0473484215671397
12,1011,84.25,0.3442822803150523,0.7587307533418056,3,3,0.3333333333333333,-0.039147210700198054
8,674,84.25,0.4282142775399344,1.0489064805473785,3,2,0.5,-0.12338984820209692
8,674,84.25,0.3015634332384382,0.7386765365160342,3,2,0.5,-0.1271053375481907
10,776,77.6,0.105502790874905,0.2984069554470063,3,2,0.5,0.045117181993236555
12,1011,84.25,0.3669981956481933,0.8882592974487941,3,3,0.3333333333333333,-0.0655164467184543
6,439,73.16666666666667,0.0617691993713378,0.1235383987426757,3,1,1.0,0.13766717744003254
8,674,84.25,0.4590560027531215,1.1138799470642555,3,2,0.5,-0.08040940372373262
12,1011,84.25,0.365090088410811,0.7744731490587488,3,3,0.3333333333333333,-0.04264789068505287
8,674,84.25,0.2972798688071115,0.7180348558608958,3,2,0.5,-0.1273590175977387
16,1348,84.25,0.2087622006734212,0.4176880811874567,3,4,0.25,0.1264701883041216
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
8,674,84.25,0.2884271485464914,0.7064993419048307,3,2,0.5,-0.1293638858768849
12,1011,84.25,0.3681794513355602,0.7810730708852832,3,3,0.3333333333333333,-0.041858833396439754
12,878,73.16666666666667,0.17672983082858,0.3752484568091166,3,2,0.5,0.16243792988588457
12,1011,84.25,0.3003951852971857,0.6890334698908229,3,3,0.3333333333333333,-0.04660754635401804
8,674,84.25,0.2831439971923828,0.6935583168533707,3,2,0.5,-0.12176266416104103
12,1011,84.25,0.3164781006899747,0.6825948874742123,3,3,0.3333333333333333,-0.04656857508917378
8,674,84.25,0.4567715781075613,1.1188572953693567,3,2,0.5,-0.08672724758526029
8,674,84.25,0.4306417192731585,1.0495576388162375,3,2,0.5,-0.12526747021976087
8,674,84.25,0.1427857194628034,0.3497521552400534,3,2,0.5,-0.08069538529923959
10,776,77.6,0.3491586579216851,0.6566491623815253,3,2,0.5,-0.06225991450449597
4,337,84.25,0.0,0.0,3,1,1.0,-0.02193827896686068
12,1011,84.25,0.3953476385636763,0.840979932276453,3,3,0.3333333333333333,-0.014343621556604458
10,776,77.6,0.3334999084472656,0.700411617035498,3,2,0.5,-0.07382267344957388
8,674,84.25,0.4356391429901123,1.0670936123091344,3,2,0.5,-0.11960515159114865
