packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio
12,878,73.16666666666667,0.17672983082858,0.37524845680911667,3,2,0.5
12,1011,84.25,0.30039518529718573,0.6890334698908229,3,3,0.3333333333333333
8,674,84.25,0.2831439971923828,0.6935583168533707,3,2,0.5
12,1011,84.25,0.3164781006899747,0.6825948874742123,3,3,0.3333333333333333
8,674,84.25,0.45677157810756136,1.1188572953693567,3,2,0.5
8,674,84.25,0.4306417192731585,1.0495576388162375,3,2,0.5
8,674,84.25,0.14278571946280344,0.34975215524005343,3,2,0.5
10,776,77.6,0.3491586579216851,0.6566491623815253,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
12,1011,84.25,0.39534763856367633,0.840979932276453,3,3,0.3333333333333333
10,776,77.6,0.3334999084472656,0.700411617035498,3,2,0.5
8,674,84.25,0.4356391429901123,1.0670936123091344,3,2,0.5
8,674,84.25,0.31898328236171175,0.7813462782643232,3,2,0.5
8,674,84.25,0.14292843001229422,0.3501017232672181,3,2,0.5
8,674,84.25,0.45205957548958914,1.1073152932886663,3,2,0.5
14,1113,79.5,0.31507314168489897,0.6485872099693029,3,3,0.3333333333333333
8,674,84.25,0.2918539728437151,0.7124480760190816,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.14878269604274205,0.3543456901985441,3,2,0.5
8,674,84.25,0.14507028034755162,0.35534816369400773,3,2,0.5
8,674,84.25,0.2912828581673758,0.7134943733295543,3,2,0.5
10,776,77.6,0.33505455652872723,0.9265902027480158,3,2,0.5
10,776,77.6,0.354489352968004,0.7082083582738141,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.3276932920728411,0.8026813577112764,3,2,0.5
8,674,84.25,0.42878542627607075,1.0503055035181479,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
4,337,84.25,0.00299835205078125,0.004240310134984027,3,1,1.0
12,1011,84.25,0.19599281657825818,0.4158230118311869,3,3,0.3333333333333333
4,337,84.25,0.008328994115193685,0.011778976438632606,3,1,1.0
10,776,77.6,0.3878059917026096,0.7390053782066467,3,2,0.5
18,1450,80.55555555555556,0.23911564490374396,0.43892094697940176,3,4,0.25
12,1011,84.25,0.1940847093408758,0.4117160627036897,3,3,0.3333333333333333
8,674,84.25,0.15492258753095353,0.36898104045951163,3,2,0.5
12,1011,84.25,0.33419645916331897,0.7817453072818188,3,3,0.3333333333333333
8,674,84.25,0.2869992937360491,0.7030018261924686,3,2,0.5
12,1011,84.25,0.27577107602899725,0.6222376350801234,3,3,0.3333333333333333
12,1011,84.25,0.3716322725469416,0.8967861313920248,3,3,0.3333333333333333
6,439,73.16666666666667,0.280059814453125,0.56011962890625,3,1,1.0
12,1011,84.25,0.36654389988292346,0.8829959148346779,3,3,0.3333333333333333
8,674,84.25,0.2832868439810617,0.6837616796870227,3,2,0.5
10,776,77.6,0.2283302148183187,0.4312724002438847,3,2,0.5
8,674,84.25,0.354536839893886,0.8684343527588358,3,2,0.5
8,674,84.25,0.34439914567129953,0.8436021747451377,3,2,0.5
8,674,84.25,0.4320695400238037,1.0481840828696773,3,2,0.5
8,674,84.25,0.45605758258274626,1.117108370654929,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
10,776,77.6,0.22555388344658744,0.5845338117318015,3,2,0.5
12,1011,84.25,0.29276262630115857,0.6431218434142206,3,3,0.3333333333333333
16,1348,84.25,0.2683990637461344,0.5828436162185816,3,4,0.25
8,674,84.25,0.3908044270106724,0.9572714353968993,3,2,0.5
14,1113,79.5,0.24157146307138297,0.5872831612251531,3,3,0.3333333333333333
8,674,84.25,0.14278571946280344,0.34975215524005343,3,2,0.5
4,337,84.25,0.0,0.0,3,1,1.0
4,337,84.25,0.0,0.0,3,1,1.0
8,674,84.25,0.27343457085745676,0.6608417147131017,3,2,0.5
14,1113,79.5,0.29908116047198957,0.6445778362797848,3,3,0.3333333333333333
12,1011,84.25,0.370541897687045,0.9019750889346123,3,3,0.3333333333333333
8,674,84.25,0.4483471597943987,1.0982217691223501,3,2,0.5
8,674,84.25,0.29071170943123953,0.712095350358785,3,2,0.5
8,674,84.25,0.1490682874407087,0.35504465549038694,3,2,0.5
8,674,84.25,0.1484971387045724,0.3532469194868322,3,2,0.5
