packet_count,total_bytes,avg_bytes,iat_mean,unique_dst_ip,unique_dst_port,anomaly_score
8,674,84.25,0.2942814145769392,3,2,-0.08836199376698434
12,878,73.16666666666667,0.3636362769386985,3,2,0.12932196114514327
8,674,84.25,0.1429285662514823,3,2,-0.0831100124861216
12,1011,84.25,0.2844031724062832,3,3,-0.014886679907762823
8,674,84.25,0.5729991367885044,3,2,-0.060650035941420266
8,674,84.25,0.4027985845293317,3,2,-0.07208764377774624
4,337,84.25,0.0,3,1,-0.15577559093833332
4,337,84.25,0.0,3,1,-0.15577559093833332
12,1011,84.25,0.2749533653259277,3,3,-0.014209593780710239
6,439,73.16666666666667,0.2276859760284423,3,1,0.004216164216859997
10,776,77.6,0.4843132230970595,3,2,0.004575000611033775
4,337,84.25,0.0,3,1,-0.15577559093833332
4,337,84.25,0.0,3,1,-0.15577559093833332
8,674,84.25,0.4354963983808245,3,2,-0.11142823582795014
8,674,84.25,0.1419289793287004,3,2,-0.08089354397578047
4,337,84.25,0.0,3,1,-0.15577559093833332
11,863,78.45454545454545,0.2583708047866821,4,3,0.15234619856538179
4,337,84.25,0.0,3,1,-0.15577559093833332
6,439,73.16666666666667,0.3784105777740478,3,1,0.01885042911877899
8,674,84.25,0.4723351342337472,3,2,-0.08008181798647673
8,674,84.25,0.1427857194628034,3,2,-0.0831100124861216
8,674,84.25,0.3206967285701206,3,2,-0.06506292444097744
10,776,77.6,0.4034647941589355,3,2,0.013349909999764487
8,674,84.25,0.2982792854309082,3,2,-0.08777667630513386
8,674,84.25,0.4470619814736502,3,2,-0.10692232213825731
8,674,84.25,0.3152708666665213,3,2,-0.07177888775507135
4,337,84.25,0.0,3,1,-0.15577559093833332
4,337,84.25,0.0,3,1,-0.15577559093833332
8,541,67.625,0.143071276800973,3,1,0.15415532949099064
8,674,84.25,0.1584921564374651,3,2,-0.06693107822570377
8,674,84.25,0.5718568393162319,3,2,-0.05947543712191883
4,337,84.25,0.0,3,1,-0.15577559093833332
8,674,84.25,0.4760475499289376,3,2,-0.07081002180498264
4,337,84.25,0.0,3,1,-0.15577559093833332
8,674,84.25,0.1375027043478829,3,2,-0.05333597873111773
10,776,77.6,0.4638791084289551,3,2,-0.001944807972249163
8,674,84.25,0.1456414290836879,3,2,-0.08939103876772297
8,674,84.25,0.4099378585815429,3,2,-0.08490243550943244
6,439,73.16666666666667,0.4051973819732666,3,1,0.029041002421356876
4,337,84.25,0.0,3,1,-0.15577559093833332
4,337,84.25,0.0,3,1,-0.15577559093833332
10,776,77.6,0.1128324402703179,3,2,0.07582917276097312
8,674,84.25,0.4386376993996756,3,2,-0.11503038991749837
8,674,84.25,0.5040335995810372,3,2,-0.036668302296445354
8,674,84.25,0.5779965945652553,3,2,-0.05411587164279974
4,337,84.25,0.0,3,1,-0.15577559093833332
4,337,84.25,0.0,3,1,-0.15577559093833332
12,878,73.16666666666667,0.20444317297502,3,2,0.11465277704744148
8,674,84.25,0.4313555785587856,3,2,-0.11389363279093939
4,337,84.25,0.0003329912821451,3,1,-0.058113686375229234
4,337,84.25,0.0,3,1,-0.15577559093833332
8,674,84.25,0.1559220041547502,3,2,-0.07105404551210676
6,439,73.16666666666667,0.0,3,1,-0.012018662319953355
8,674,84.25,0.4316412721361433,3,2,-0.11441920898315239
8,674,84.25,0.4601982661655971,3,2,-0.0839121461490675
8,674,84.25,0.301706143787929,3,2,-0.0855480331856256
6,439,73.16666666666667,0.6098949909210205,3,1,0.05546157328780332
6,439,73.16666666666667,0.0,3,1,-0.012018662319953355
