step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
29,7,593,84.71428571428571,0.5123604933420817,1.145672892098223,3,2,0.6666666666666666,0.025185498356491975,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
30,4,337,84.25,0.0,0.0,3,2,0.5,0.05587660396149319,0.1427723112222152,0.1900081828313001,NORMAL,False,0,0,False,False,NORMAL
31,9,755,83.88888888888889,0.38364577293395996,1.0150313067244128,3,3,0.4,-0.025298023743081488,0.13954828878698763,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
32,13,1092,84.0,0.34115737676620483,0.8694409053034803,3,4,0.2857142857142857,0.07634567712770157,0.13696907083880558,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
33,9,755,83.88888888888889,0.1280902922153473,0.3385173697534929,3,3,0.4,-0.009775280227511951,0.13490569648025993,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
34,12,1011,84.25,0.2791971076618541,0.5610050166596199,3,4,0.3333333333333333,-0.004834414069222526,0.13325499699342344,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
35,16,1348,84.25,0.2560640017191569,0.5117617984106999,3,5,0.25,0.059880500555788196,0.13193443740395425,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
36,11,930,84.54545454545455,0.2817237377166748,0.5541067554276348,3,3,0.4,-0.04114720557171614,0.13087798973237888,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
37,11,930,84.54545454545455,0.30751690864562986,0.6251839063593188,3,3,0.4,-0.04584092355436026,0.13003283159511858,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
38,12,1011,84.25,0.34908752007917926,0.6388989236525363,3,3,0.3333333333333333,-0.04189852060076349,0.12935670508531036,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
39,6,516,86.0,0.2043447971343994,0.40818993334151915,3,2,0.6666666666666666,-0.0014214044301150697,0.12881580387746377,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
40,14,1152,82.28571428571429,0.25593101061307466,0.5852029565549145,3,4,0.2857142857142857,0.05059065279754216,0.12138191551619493,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
41,12,955,79.58333333333333,0.3724452148784291,0.7351753017245491,3,3,0.4,0.01881745888184483,0.11175741855629562,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
42,10,776,77.6,0.22760544882880318,0.558649272392964,3,2,0.5,-0.026727940400758043,0.10243878858974828,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
43,10,776,77.6,0.22760544882880318,0.558649272392964,3,2,0.5,-0.026727940400758043,0.0949838846165104,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
44,9,695,77.22222222222223,0.6078367233276367,1.1003370539235509,3,2,0.6666666666666666,0.10120922846743952,0.090638993836548,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,NORMAL
45,8,635,79.375,0.43873936789376394,1.0746875814109502,3,2,0.6666666666666666,-0.038583366553623266,0.08716308121257808,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
46,11,913,83.0,0.20493316650390625,0.6144659449044301,3,3,0.3333333333333333,-0.022026128454930016,0.08438235111340214,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
47,11,913,83.0,0.20493316650390625,0.6144659449044301,3,3,0.3333333333333333,-0.022026128454930016,0.0821577670340614,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
48,14,1169,83.5,0.29543408980736363,0.694472682199385,3,4,0.2857142857142857,0.07804460656201762,0.0811822312905642,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
49,12,1011,84.25,0.256187612360174,0.5670465668369763,3,4,0.3333333333333333,0.002546436091433679,0.08040180269576644,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
50,12,1011,84.25,0.256187612360174,0.5670465668369763,3,4,0.3333333333333333,0.002546436091433679,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
51,12,1011,84.25,0.2793864987113259,0.6306965548897103,3,3,0.3333333333333333,-0.06549328422647821,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
52,14,1113,79.5,0.2757404950948862,0.58875623968937,3,3,0.3333333333333333,-0.02642635366087631,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
53,14,1113,79.5,0.31500009390024036,0.6511078128800292,3,4,0.3333333333333333,0.038957220357501265,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
54,15,1194,79.6,0.21944662502833776,0.46205446296349306,3,4,0.2857142857142857,0.09076963704413099,0.08100867466543599,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,NORMAL
55,15,1194,79.6,0.21944662502833776,0.46205446296349306,3,4,0.2857142857142857,0.09076963704413099,0.08296086714117498,0.1900081828313001,SUSPICIOUS,False,2,0,False,True,NORMAL
56,12,1011,84.25,0.27920486710288306,0.6310724258324555,3,3,0.3333333333333333,-0.06517673889087866,0.08452262112176619,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
57,12,1011,84.25,0.27920486710288306,0.6310724258324555,3,3,0.3333333333333333,-0.06517673889087866,0.08577202430623915,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
58,9,755,83.88888888888889,0.25606292486190796,0.6771006008933537,3,3,0.4,-0.05601554521069685,0.08677154685381752,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
59,8,674,84.25,0.43903670992170063,1.0754159176584792,3,2,0.5,-0.11819852873153774,0.08757116489188022,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
60,8,674,84.25,0.43903670992170063,1.0754159176584792,3,2,0.5,-0.11819852873153774,0.08821085932233037,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
61,7,593,84.71428571428571,0.3414175510406494,0.7634328528383961,3,2,0.6666666666666666,-0.045908876147449484,0.0887226148666905,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
